标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·华泾绿苑 1室1厅 东南,5300,63.38㎡,徐汇-华泾-华泾绿苑,121.457976,31.113578,市域机场线,1.3685
整租·田林十四村 1室1厅 南,4960,36.56㎡,徐汇-田林-田林十四村,121.423526,31.175538,15号线,0.5272
整租·尚海湾豪庭一期 1室2厅 南,12500,65.24㎡,徐汇-徐汇滨江-尚海湾豪庭一期,121.460283,31.179931,12号线,0.5807
整租·中煌大厦 1室1厅 南,5000,54.00㎡,徐汇-龙华-中煌大厦,121.445898,31.180772,11号线,0.464
整租·天钥新村 1室1厅 南,5030,34.50㎡,徐汇-万体馆-天钥新村,121.44698,31.184669,4号线,0.3449
整租·凯旋一村 1室1厅 南,4590,32.02㎡,徐汇-徐家汇-凯旋一村,121.423993,31.19315,4号线,0.5718
整租·汇金广场 3室1厅 南,20500,167.95㎡,徐汇-徐家汇-汇金广场,121.440415,31.195237,11号线,0.3646
整租·建国西路402弄 1室1厅 南,5100,13.00㎡,徐汇-建国西路-建国西路402弄,121.453335,31.203677,9号线,0.5564
整租·青松小区 1室1厅 南,6800,46.41㎡,徐汇-徐家汇-青松小区,121.449422,31.196816,9号线,0.3
整租·长桥八村 2室1厅 南/北,4700,59.74㎡,徐汇-长桥-长桥八村,121.439768,31.131052,15号线,0.3819
整租·上缝小区 1室0厅 南/北,5000,38.56㎡,徐汇-龙华-上缝小区,121.446367,31.173351,3号线,0.4712
整租·徐汇商务大厦 1室0厅 南,6000,46.46㎡,徐汇-徐家汇-徐汇商务大厦,121.432615,31.185389,4号线,0.5372
整租·东方时空公寓 1室1厅 南,5000,45.14㎡,徐汇-徐家汇-东方时空公寓,121.427716,31.192807,4号线,0.677
整租·长桥一村 1室1厅 南,5130,48.50㎡,徐汇-长桥-长桥一村,121.437716,31.136658,15号线,0.5946
整租·田林十二村 1室1厅 南,4730,30.00㎡,徐汇-田林-田林十二村,121.428878,31.171776,12号线,0.5568
整租·三江小区 1室1厅 南,3900,47.38㎡,徐汇-龙华-三江小区,121.440003,31.164717,3号线,0.6712
整租·高安路9弄 1室1厅 南,7250,43.00㎡,徐汇-衡山路-高安路9弄,121.445478,31.206315,10号线,0.2111
整租·漕溪二村 1室1厅 南,4999,37.90㎡,徐汇-万体馆-漕溪二村,121.439107,31.172001,3号线,0.5302
