,标题,价格(元/月),片区,lng,lat,nearest_station_id,distance_km,station_name,区域,面积(㎡),rent_per_unit
225,整租·虹兴苑 1室1厅 南,5775,闵行-金汇-虹兴苑,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,59.67,96.7823026646556
226,整租·嘉富丽苑 1室1厅 南,6000,闵行-龙柏-嘉富丽苑,121.359731,31.181097,10号线,1.1261,龙柏新村,闵行,63.94,93.83797309978105
227,整租·好世鹿鸣苑 1室1厅 南,6500,闵行-莘庄南广场-好世鹿鸣苑,121.384015,31.105422,5号线,0.6483,莘庄,闵行,66.85,97.23261032161557
228,整租·中春三水苑 3室1厅 南/北,5600,闵行-春申-中春三水苑,121.421818,31.092945,15号线,0.454,曙建路,闵行,85.0,65.88235294117646
229,整租·永德小区永南 2室1厅 南,3800,闵行-吴泾-永德小区永南,121.465493,31.041448,15号线,2.1429,永德路,闵行,56.6,67.13780918727915
230,整租·枫泽苑 2室2厅 南,4200,闵行-颛桥-枫泽苑,121.421015,31.031028,5号线,0.658,剑川路,闵行,90.29,46.51677926680695
231,整租·景舒苑八村 2室2厅 南,5000,闵行-浦江-景舒苑八村,121.490745,31.071405,8号线,1.9091,联航路,闵行,75.75,66.00660066006601
232,整租·公园1872北区 3室2厅 南,6000,闵行-吴泾-公园1872北区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,104.74,57.28470498376934
233,整租·报春一村 2室1厅 南,3948,闵行-莘庄北广场-报春一村,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,71.0,55.605633802816904
234,整租·一品漫城(一期)(公寓) 2室2厅 南/北,8000,闵行-浦江-一品漫城(一期)(公寓),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,87.75,91.16809116809117
235,整租·明申花园(公寓) 4室2厅 南,24000,闵行-金虹桥-明申花园(公寓),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,318.94,75.24926318429799
236,整租·瑞和新苑江航路60弄 2室2厅 南/北,3800,闵行-闵浦-瑞和新苑江航路60弄,121.53956,31.046977,浦江线,0.8883,闵瑞路,闵行,74.02,51.33747635774115
237,整租·虹浦新城南区 2室1厅 南,4000,闵行-闵浦-虹浦新城南区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,76.63,52.198877724128934
238,整租·平阳新村四街坊 2室1厅 南,6290,闵行-古美-平阳新村四街坊,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,65.25,96.3984674329502
239,整租·华江小区 1室1厅 南,2500,闵行-老闵行-华江小区,121.422095,31.000302,5号线,0.5833,江川路,闵行,33.89,73.76807317792858
240,整租·水景书香园 1室1厅 南,5500,闵行-七宝-水景书香园,121.364255,31.150316,9号线,0.971,星中路,闵行,57.19,96.17065920615492
241,整租·万源城朗郡 2室2厅 南,21000,闵行-古美-万源城朗郡,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,172.0,122.09302325581395
242,整租·海上新村 1室1厅 南,4100,闵行-古美-海上新村,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,44.46,92.21772379667117
243,整租·普乐二村 1室1厅 南,3700,闵行-春申-普乐二村,121.424488,31.114715,15号线,1.4567,虹梅南路,闵行,41.52,89.11368015414257
244,整租·莲花河畔景苑 1室2厅 南,6000,闵行-梅陇-莲花河畔景苑,121.412822,31.14129,1号线,0.1599,锦江乐园,闵行,66.33,90.45680687471733
245,整租·金鹰华庭一期 1室1厅 南,8600,闵行-金虹桥-金鹰华庭一期,121.380968,31.18353,10号线,1.2083,龙溪路,闵行,63.7,135.00784929356357
246,整租·紫竹半岛花园 1室1厅 南,4800,闵行-吴泾-紫竹半岛花园,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,64.57,74.33792783026173
247,整租·明申花园(公寓) 3室2厅 南,10500,闵行-金虹桥-明申花园(公寓),121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,122.0,86.06557377049181
248,整租·合生城邦四街坊 2室2厅 南,4800,闵行-老闵行-合生城邦四街坊,121.405807,31.018868,5号线,0.9392,金平路,闵行,90.28,53.167922020381035
249,整租·碧林湾新苑(华友路) 1室1厅 南,5600,闵行-七宝-碧林湾新苑(华友路),121.352012,31.136023,12号线,1.1089,七莘路,闵行,56.0,100.0
250,整租·绿水家园 3室2厅 南/北,7000,闵行-莘庄南广场-绿水家园,121.387886,31.097332,5号线,0.222,春申路,闵行,132.6,52.79034690799397
251,整租·东苑福邸 3室2厅 南,6800,闵行-莘庄北广场-东苑福邸,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,118.49,57.38880918220947
252,整租·长寿新村(闵行) 2室1厅 南,3800,闵行-莘庄南广场-长寿新村(闵行),121.379555,31.105967,5号线,0.799,莘庄,闵行,53.05,71.63053722902922
253,整租·涞港星苑 1室1厅 南,5500,闵行-华漕-涞港星苑,121.30061,31.199709,17号线,1.1459,国家会展中心(17号线),闵行,60.0,91.66666666666667
254,整租·公园1872南区 3室2厅 南,6800,闵行-吴泾-公园1872南区,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,104.36,65.15906477577616
255,整租·万科城 3室2厅 南,4600,闵行-老闵行-万科城,121.386109,31.027058,5号线,2.3408,华宁路,闵行,99.11,46.413076379780044
256,整租·万乐城(商业类) 1室0厅 南,2599,闵行-吴泾-万乐城(商业类),121.445443,31.038405,15号线,0.2291,永德路,闵行,27.23,95.44619904517077
257,整租·龙柏三村（东西区） 1室1厅 南,5200,闵行-龙柏-龙柏三村（东西区）,121.367586,31.179345,10号线,0.3881,龙柏新村,闵行,39.1,132.9923273657289
258,整租·莘城公寓 1室1厅 南,4410,闵行-莘庄南广场-莘城公寓,121.393641,31.106964,5号线,0.9152,莘庄,闵行,57.0,77.36842105263158
259,整租·浦江颐城晶寓 2室2厅 南,7800,闵行-浦江-浦江颐城晶寓,121.502285,31.098529,8号线,0.4369,浦江镇,闵行,88.36,88.27523766410141
260,整租·保利佳苑 2室1厅 南,2600,闵行-老闵行-保利佳苑,121.379073,31.019764,5号线,1.7996,文井路,闵行,71.72,36.25209146681539
261,整租·浦江莘松绿锦园(南区) 2室2厅 南/北,5500,闵行-闵浦-浦江莘松绿锦园(南区),121.52627,31.049156,浦江线,0.4091,闵瑞路,闵行,99.0,55.55555555555556
262,整租·马桥景城·和苑 2室1厅 南,4100,闵行-老闵行-马桥景城·和苑,121.359718,31.038531,5号线,4.309,闵行开发区,闵行,67.08,61.121049493142515
263,整租·涞港星苑 2室1厅 南,4500,闵行-华漕-涞港星苑,121.30061,31.199709,17号线,1.1459,国家会展中心(17号线),闵行,70.0,64.28571428571429
264,整租·万源城御璄 6室3厅 南,33000,闵行-古美-万源城御璄,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,334.91,98.53393448986294
265,整租·银香苑 3室2厅 南,8500,闵行-春申-银香苑,121.418627,31.100853,15号线,0.1255,景西路,闵行,99.0,85.85858585858585
266,整租·汇宝公寓 3室2厅 南,6800,闵行-七宝-汇宝公寓,121.349135,31.158373,9号线,0.3422,七宝,闵行,101.11,67.25348630204728
267,整租·阳明国际花苑一二三期 3室2厅 南,9500,闵行-莘庄北广场-阳明国际花苑一二三期,121.381898,31.121744,1号线,1.0649,外环路,闵行,124.0,76.61290322580645
268,整租·红星国际广场 2室1厅 南,4000,闵行-浦江-红星国际广场,121.511129,31.077456,8号线,0.4341,联航路,闵行,66.0,60.60606060606061
269,整租·红旗小区 1室1厅 南,2600,闵行-老闵行-红旗小区,121.397894,31.010301,5号线,0.4027,华宁路,闵行,52.0,50.0
270,整租·双柏小区 2室1厅 南,3200,闵行-吴泾-双柏小区,121.472246,31.043279,15号线,2.8098,永德路,闵行,70.0,45.714285714285715
271,整租·东湖花园 1室1厅 南,4300,闵行-莘庄北广场-东湖花园,121.436307,31.188334,1号线,0.6212,上海体育馆,闵行,53.89,79.79216923362405
272,整租·汽轮三村  1室1厅 南,3500,闵行-老闵行-汽轮三村,121.411429,31.00418,5号线,0.7962,金平路,闵行,52.85,66.2251655629139
273,整租·高兴花园二三四街坊 2室1厅 南,4500,闵行-春申-高兴花园二三四街坊,121.404495,31.112327,1号线,1.4494,外环路,闵行,68.0,66.17647058823529
274,整租·静安新城四区 1室1厅 南,5300,闵行-静安新城-静安新城四区,121.383199,31.159233,9号线,0.824,合川路,闵行,59.13,89.63301200744122
275,整租·君莲新城广润苑 2室1厅 南,6830,闵行-颛桥-君莲新城广润苑,121.417817,31.085529,15号线,0.4546,双柏路,闵行,102.89,66.38157255321217
276,整租·莘光苑 2室1厅 南,5500,闵行-古美-莘光苑,121.400437,31.156156,12号线,0.5554,虹梅路,闵行,81.76,67.27005870841487
277,整租·莘南花苑一村 2室1厅 南,5300,闵行-莘庄南广场-莘南花苑一村,121.396865,31.11099,5号线,1.0963,莘庄,闵行,67.18,78.89252753795772
278,整租·莘东两湾新苑 1室1厅 南,5200,闵行-莘庄北广场-莘东两湾新苑,121.395492,31.113579,1号线,0.845,外环路,闵行,55.0,94.54545454545455
279,整租·鹤北新村 2室1厅 南,3100,闵行-老闵行-鹤北新村,121.41815,31.011338,5号线,0.7604,金平路,闵行,63.0,49.20634920634921
280,整租·开城新村 2室1厅 南,5000,闵行-莘庄南广场-开城新村,121.382561,31.108703,5号线,0.3816,莘庄,闵行,64.06,78.05182641273805
281,整租·浦江世博家园九街坊 2室1厅 南/北,4200,闵行-浦江-浦江世博家园九街坊,121.500941,31.076736,8号线,0.9858,联航路,闵行,77.44,54.235537190082646
