标题,价格(元/月),面积,片区,lng,lat,nearest_station_id,distance_km
整租·雍华府(公寓) 2室1厅 南/北,5000,108.34㎡,闵行-颛桥-雍华府(公寓),121.436307,31.188334,1号线,0.6212
整租·滨浦新苑五村 2室1厅 南,4300,77.96㎡,闵行-浦江-滨浦新苑五村,121.498287,31.067206,8号线,1.3698
整租·万顺水原墅 1室1厅 南,3800,62.62㎡,闵行-颛桥-万顺水原墅,121.41603,31.042576,5号线,0.6359
整租·绿梅一村 2室1厅 南/北,4200,55.38㎡,闵行-莘庄北广场-绿梅一村,121.436307,31.188334,1号线,0.6212
整租·爱博四村 3室1厅 南,5600,85.00㎡,闵行-华漕-爱博四村,121.30695,31.213451,17号线,2.4387
整租·锦乐馨苑东苑 3室2厅 南,8000,124.14㎡,闵行-春申-锦乐馨苑东苑,121.422325,31.116714,15号线,1.7025
整租·银兆公寓 3室2厅 南/北,6500,121.22㎡,闵行-春申-银兆公寓,121.439477,31.106719,市域机场线,0.5749
整租·振宏小区 3室1厅 南,8500,80.01㎡,闵行-金虹桥-振宏小区,121.405445,31.189639,15号线,0.2308
整租·电机一村 1室0厅 北,2400,32.81㎡,闵行-老闵行-电机一村,121.408984,31.003678,5号线,0.8507
整租·马桥景城馨苑 1室1厅 南,3100,55.95㎡,闵行-老闵行-马桥景城馨苑,121.359718,31.038531,5号线,4.309
整租·虹梅路2759弄 1室1厅 南,5000,44.68㎡,闵行-金汇-虹梅路2759弄,121.393561,31.176348,9号线,0.7488
整租·七韵美地苑 1室1厅 南,6000,56.25㎡,闵行-航华-七韵美地苑,121.436307,31.188334,1号线,0.6212
整租·西郊九韵城 2室2厅 南,5000,70.00㎡,闵行-华漕-西郊九韵城,121.295371,31.211899,17号线,2.2528
整租·古北尚郡 1室1厅 南,9500,63.97㎡,闵行-金虹桥-古北尚郡,121.397262,31.199617,15号线,0.1348
整租·金平小区 2室1厅 南/北,3000,61.73㎡,闵行-老闵行-金平小区,121.415931,31.01305,5号线,0.5825
整租·莲花河畔景苑 2室2厅 南/北,9500,94.22㎡,闵行-梅陇-莲花河畔景苑,121.412822,31.14129,1号线,0.1599
整租·林水美地苑 3室1厅 南,6000,99.85㎡,闵行-莘庄北广场-林水美地苑,121.436307,31.188334,1号线,0.6212
整租·蒲汇新村 2室1厅 南/北,5500,67.00㎡,闵行-七宝-蒲汇新村,121.356317,31.155598,9号线,0.6774
整租·电厂小区 1室1厅 南,2500,35.30㎡,闵行-老闵行-电厂小区,121.403596,31.005466,5号线,0.8268
整租·沁春园一村 2室1厅 南,4700,63.38㎡,闵行-莘庄南广场-沁春园一村,121.376559,31.100032,5号线,0.9051
整租·滨浦新苑八村 2室1厅 南/北,3500,78.42㎡,闵行-浦江-滨浦新苑八村,121.495178,31.063329,浦江线,1.6448
整租·银春小区 2室1厅 南/北,3675,66.01㎡,闵行-颛桥-银春小区,121.422714,31.031457,5号线,0.8042
整租·天安豪园 1室1厅 南,6800,56.45㎡,闵行-金汇-天安豪园,121.436307,31.188334,1号线,0.6212
整租·九歌花园 1室1厅 西,5300,45.07㎡,闵行-静安新城-九歌花园,121.436307,31.188334,1号线,0.6212
整租·馨和雅苑 3室1厅 南,4500,94.00㎡,闵行-闵浦-馨和雅苑,121.542169,31.047096,浦江线,1.1346
整租·平吉一村 1室1厅 南,4500,42.07㎡,闵行-古美-平吉一村,121.400437,31.156156,12号线,0.5554
整租·碧桂园柏悦前湾 3室2厅 南,8500,100.00㎡,闵行-华漕-碧桂园柏悦前湾,121.294488,31.216381,17号线,2.7422
整租·航华一村 1室1厅 南,3500,40.87㎡,闵行-航华-航华一村,121.35709,31.17723,10号线,1.1163
整租·昆阳小区 1室0厅 南,2200,35.07㎡,闵行-老闵行-昆阳小区,121.372017,30.999343,5号线,0.2621
整租·华发四季半岛 3室2厅 南/北,6300,102.00㎡,闵行-颛桥-华发四季半岛,121.400514,31.059704,5号线,0.8205
整租·瑞和新苑江航路60弄 2室2厅 南,3100,75.51㎡,闵行-闵浦-瑞和新苑江航路60弄,121.53956,31.046977,浦江线,0.8883
整租·万泰花园 2室1厅 南,4900,66.07㎡,闵行-七宝-万泰花园,121.355684,31.1426,12号线,1.3768
整租·吴泾新村 1室1厅 南,2700,30.00㎡,闵行-吴泾-吴泾新村,121.4651,31.044504,15号线,2.1728
整租·高兴花园二三四街坊 2室1厅 南,4300,69.12㎡,闵行-春申-高兴花园二三四街坊,121.404495,31.112327,1号线,1.4494
